airline,date_of_journey,source,destination,dep_time,arrival_time,total_stops,additional_info,price
Air India,2019-05-21,Delhi,Cochin,05:55:00,19:15:00,2.0,No Info,10493
Spicejet,2019-06-01,Mumbai,Hyderabad,13:15:00,14:45:00,0.0,No check-in baggage included,2175
Air India,2019-05-06,Banglore,Delhi,17:00:00,19:45:00,0.0,No Info,5228
Goair,2019-03-09,Banglore,New Delhi,20:55:00,23:50:00,0.0,No Info,5706
Jet Airways,2019-03-24,Banglore,New Delhi,19:55:00,22:35:00,0.0,No Info,7229
Multiple Carriers,2019-05-21,Delhi,Cochin,09:00:00,21:00:00,1.0,No Info,14067
Jet Airways,2019-04-09,Delhi,Cochin,11:40:00,19:00:00,2.0,No Info,15439
Spicejet,2019-05-09,Banglore,Delhi,05:55:00,08:35:00,0.0,No check-in baggage included,3573
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,18:15:00,1.0,In-flight meal not included,8529
Air India,2019-05-06,Mumbai,Hyderabad,06:20:00,07:40:00,0.0,No Info,3625
Multiple Carriers,2019-03-21,Delhi,Cochin,06:00:00,13:20:00,1.0,No Info,11269
Indigo,2019-03-21,Mumbai,Hyderabad,16:55:00,18:25:00,0.0,No Info,3175
Air India,2019-05-01,Kolkata,Banglore,05:50:00,08:55:00,2.0,No Info,10991
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,12:00:00,1.0,In-flight meal not included,9663
Indigo,2019-06-03,Delhi,Cochin,14:25:00,17:40:00,0.0,No Info,6015
Multiple Carriers,2019-03-03,Delhi,Cochin,07:05:00,21:20:00,2.0,No Info,8291
Jet Airways,2019-06-09,Kolkata,Banglore,20:00:00,08:15:00,1.0,No Info,14939
Indigo,2019-05-27,Chennai,Kolkata,19:35:00,21:55:00,0.0,No Info,3597
Multiple Carriers,2019-06-27,Delhi,Cochin,11:25:00,19:15:00,1.0,No Info,7155
Jet Airways,2019-06-12,Kolkata,Banglore,20:25:00,09:45:00,1.0,In-flight meal not included,10539
Jet Airways,2019-03-24,Banglore,New Delhi,19:55:00,22:35:00,0.0,No Info,8016
Jet Airways,2019-04-27,Banglore,Delhi,07:10:00,10:10:00,0.0,No Info,7229
Indigo,2019-03-27,Chennai,Kolkata,14:40:00,17:05:00,0.0,No Info,3384
Air India,2019-06-12,Kolkata,Banglore,16:45:00,08:55:00,2.0,No Info,14960
Multiple Carriers,2019-06-06,Delhi,Cochin,06:00:00,19:00:00,1.0,No Info,11789
Spicejet,2019-05-06,Kolkata,Banglore,11:35:00,18:50:00,1.0,No Info,8479
Air India,2019-04-01,Banglore,Delhi,17:00:00,19:45:00,0.0,No Info,5176
Indigo,2019-04-18,Banglore,Delhi,18:55:00,21:50:00,0.0,No Info,5780
Jet Airways,2019-04-18,Banglore,Delhi,18:55:00,22:00:00,0.0,No Info,7229
Jet Airways,2019-05-18,Kolkata,Banglore,21:10:00,09:20:00,1.0,No Info,14388
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,16:20:00,1.0,No Info,12681
Indigo,2019-03-03,Chennai,Kolkata,05:15:00,07:35:00,0.0,No Info,6482
Indigo,2019-06-24,Kolkata,Banglore,11:30:00,14:05:00,0.0,No Info,4804
Multiple Carriers,2019-06-01,Delhi,Cochin,15:00:00,01:30:00,1.0,No Info,13377
Air India,2019-06-09,Kolkata,Banglore,12:00:00,07:55:00,2.0,No Info,10151
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,10:55:00,1.0,No Info,12692
Air India,2019-06-15,Delhi,Cochin,20:15:00,19:15:00,2.0,No Info,13591
Indigo,2019-04-15,Kolkata,Banglore,21:25:00,00:05:00,0.0,No Info,4174
Air India,2019-03-01,Delhi,Cochin,09:45:00,08:15:00,1.0,No Info,22798
Jet Airways,2019-03-09,Banglore,New Delhi,21:25:00,07:40:00,1.0,In-flight meal not included,7832
Air India,2019-05-27,Delhi,Cochin,18:30:00,19:15:00,2.0,No Info,12488
Jet Airways,2019-06-06,Delhi,Cochin,07:05:00,12:35:00,1.0,In-flight meal not included,10262
Air India,2019-06-12,Kolkata,Banglore,09:10:00,13:15:00,1.0,No Info,8996
Multiple Carriers,2019-05-21,Delhi,Cochin,13:00:00,21:00:00,1.0,No Info,14067
Jet Airways,2019-03-21,Delhi,Cochin,10:45:00,18:50:00,2.0,In-flight meal not included,7791
Indigo,2019-05-21,Delhi,Cochin,11:55:00,18:10:00,1.0,No Info,6442
Air India,2019-06-12,Delhi,Cochin,21:00:00,07:40:00,1.0,No Info,8372
Indigo,2019-06-03,Chennai,Kolkata,07:55:00,10:15:00,0.0,No Info,3850
Indigo,2019-05-01,Kolkata,Banglore,20:20:00,22:55:00,0.0,No Info,4804
Jet Airways,2019-06-03,Delhi,Cochin,08:00:00,19:00:00,1.0,In-flight meal not included,10577
Jet Airways,2019-06-03,Delhi,Cochin,10:00:00,04:25:00,1.0,In-flight meal not included,11627
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,19:50:00,1.0,In-flight meal not included,10844
Vistara,2019-03-21,Banglore,New Delhi,06:40:00,21:55:00,1.0,No Info,6065
Air Asia,2019-03-01,Banglore,New Delhi,05:50:00,08:40:00,0.0,No Info,10715
Spicejet,2019-05-21,Chennai,Kolkata,17:45:00,20:05:00,0.0,No Info,3597
Spicejet,2019-06-01,Banglore,Delhi,21:10:00,00:05:00,0.0,No check-in baggage included,3573
Jet Airways,2019-06-27,Delhi,Cochin,14:35:00,12:35:00,2.0,No Info,13376
Indigo,2019-03-21,Chennai,Kolkata,07:55:00,10:15:00,0.0,No Info,3384
Spicejet,2019-05-27,Kolkata,Banglore,17:10:00,19:40:00,0.0,No Info,3873
Jet Airways,2019-05-01,Kolkata,Banglore,21:10:00,04:40:00,1.0,No Info,14781
Jet Airways,2019-06-27,Delhi,Cochin,11:45:00,04:25:00,2.0,No Info,13882
Jet Airways,2019-06-12,Delhi,Cochin,09:40:00,12:35:00,2.0,No Info,13014
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,10:05:00,1.0,No Info,13941
Multiple Carriers,2019-06-12,Delhi,Cochin,10:20:00,19:00:00,1.0,No Info,11789
Jet Airways,2019-04-09,Banglore,Delhi,07:10:00,10:10:00,0.0,No Info,7229
Vistara,2019-05-12,Kolkata,Banglore,07:10:00,23:25:00,1.0,No Info,9345
Jet Airways,2019-03-09,Delhi,Cochin,21:50:00,18:50:00,1.0,No Info,15764
Multiple Carriers,2019-03-21,Delhi,Cochin,07:05:00,22:20:00,1.0,No Info,6717
Jet Airways,2019-03-21,Delhi,Cochin,19:10:00,04:25:00,2.0,No Info,10929
Vistara,2019-06-21,Delhi,Cochin,14:40:00,17:50:00,0.0,No Info,6216
Multiple Carriers,2019-06-03,Delhi,Cochin,13:15:00,22:30:00,1.0,No Info,9646
Indigo,2019-06-27,Delhi,Cochin,07:35:00,16:10:00,1.0,No Info,6442
Multiple Carriers,2019-05-27,Delhi,Cochin,09:45:00,22:30:00,1.0,No Info,10486
Jet Airways,2019-03-21,Delhi,Cochin,19:15:00,18:50:00,2.0,In-flight meal not included,8938
Jet Airways,2019-03-12,Banglore,New Delhi,21:25:00,12:25:00,1.0,No Info,13817
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,04:40:00,1.0,In-flight meal not included,6224
Spicejet,2019-06-09,Kolkata,Banglore,06:55:00,09:30:00,0.0,No check-in baggage included,3841
Air Asia,2019-03-06,Kolkata,Banglore,10:20:00,12:55:00,0.0,No Info,4384
Air India,2019-06-09,Banglore,Delhi,10:00:00,12:45:00,0.0,No Info,6961
Air Asia,2019-06-18,Banglore,Delhi,11:10:00,13:55:00,0.0,No Info,3383
Air India,2019-06-12,Delhi,Cochin,12:20:00,19:15:00,2.0,No Info,12488
Jet Airways,2019-05-21,Delhi,Cochin,13:25:00,19:00:00,2.0,No Info,15129
Air India,2019-06-06,Delhi,Cochin,13:20:00,07:40:00,2.0,No Info,12751
Indigo,2019-06-24,Chennai,Kolkata,22:05:00,00:25:00,0.0,No Info,5277
Jet Airways,2019-04-09,Delhi,Cochin,09:25:00,04:25:00,2.0,No Info,11546
Jet Airways,2019-06-09,Kolkata,Banglore,14:05:00,19:50:00,1.0,No Info,14571
Air India,2019-03-21,Delhi,Cochin,08:00:00,19:15:00,1.0,No Info,7199
Multiple Carriers,2019-03-27,Delhi,Cochin,07:05:00,16:10:00,1.0,No Info,6076
Indigo,2019-06-27,Delhi,Cochin,16:00:00,01:30:00,1.0,No Info,6316
Jet Airways,2019-06-03,Delhi,Cochin,05:30:00,19:00:00,2.0,No Info,13014
Indigo,2019-03-21,Delhi,Cochin,07:30:00,13:20:00,1.0,No Info,9861
Indigo,2019-03-27,Delhi,Cochin,14:30:00,17:35:00,0.0,No Info,4729
Spicejet,2019-03-24,Mumbai,Hyderabad,22:45:00,00:10:00,0.0,No check-in baggage included,2175
Indigo,2019-05-27,Banglore,Delhi,21:15:00,00:15:00,0.0,No Info,3943
Indigo,2019-03-09,Kolkata,Banglore,05:30:00,08:20:00,0.0,No Info,4148
Vistara,2019-05-06,Banglore,Delhi,19:30:00,22:15:00,0.0,No Info,4878
Air Asia,2019-06-06,Banglore,Delhi,11:10:00,13:55:00,0.0,No Info,4483
Jet Airways,2019-03-21,Delhi,Cochin,19:10:00,18:50:00,2.0,No Info,9483
Multiple Carriers,2019-03-21,Delhi,Cochin,09:00:00,21:00:00,1.0,No Info,13062
Air India,2019-03-12,Mumbai,Hyderabad,09:15:00,09:15:00,1.0,No Info,8065
Jet Airways,2019-05-18,Kolkata,Banglore,20:25:00,22:05:00,1.0,No Info,14151
Spicejet,2019-06-27,Mumbai,Hyderabad,13:15:00,14:45:00,0.0,No Info,2017
Jet Airways,2019-05-09,Delhi,Cochin,02:15:00,12:35:00,1.0,No Info,15851
Air India,2019-05-01,Kolkata,Banglore,10:00:00,16:15:00,1.0,No Info,10203
Indigo,2019-03-27,Mumbai,Hyderabad,09:10:00,10:40:00,0.0,No Info,4392
Multiple Carriers,2019-03-03,Delhi,Cochin,15:05:00,01:35:00,2.0,No Info,34503
Indigo,2019-06-18,Banglore,Delhi,20:00:00,22:50:00,0.0,No Info,4823
Jet Airways,2019-06-06,Banglore,Delhi,08:20:00,11:20:00,0.0,In-flight meal not included,6478
Jet Airways,2019-03-06,Mumbai,Hyderabad,19:50:00,16:50:00,2.0,No Info,24210
Jet Airways,2019-03-12,Banglore,New Delhi,09:45:00,14:25:00,1.0,No Info,12295
Air India,2019-03-03,Delhi,Cochin,06:10:00,23:00:00,1.0,No Info,13002
Jet Airways,2019-04-21,Banglore,Delhi,15:15:00,18:10:00,0.0,No Info,7229
Air India,2019-04-24,Delhi,Cochin,18:05:00,21:10:00,0.0,No Info,5201
Jet Airways,2019-06-15,Delhi,Cochin,17:30:00,04:25:00,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-09,Delhi,Cochin,11:40:00,01:30:00,1.0,No Info,6795
Indigo,2019-06-27,Delhi,Cochin,10:35:00,01:30:00,1.0,No Info,5684
Spicejet,2019-06-15,Kolkata,Banglore,14:55:00,17:25:00,0.0,No Info,3873
Multiple Carriers,2019-03-21,Delhi,Cochin,08:25:00,19:15:00,1.0,No Info,8601
Multiple Carriers,2019-05-27,Delhi,Cochin,08:00:00,21:00:00,1.0,In-flight meal not included,9450
Jet Airways,2019-06-24,Delhi,Cochin,13:00:00,19:00:00,1.0,In-flight meal not included,10262
Indigo,2019-05-21,Delhi,Cochin,16:10:00,00:55:00,1.0,No Info,6778
Jet Airways,2019-05-01,Banglore,Delhi,08:20:00,11:20:00,0.0,No Info,7229
Multiple Carriers,2019-06-06,Delhi,Cochin,16:00:00,01:30:00,1.0,No Info,13377
Vistara,2019-06-12,Kolkata,Banglore,17:00:00,23:25:00,1.0,No Info,8610
Jet Airways,2019-04-27,Banglore,Delhi,18:55:00,22:00:00,0.0,In-flight meal not included,4544
Jet Airways,2019-05-21,Delhi,Cochin,07:05:00,12:35:00,1.0,No Info,16289
Indigo,2019-06-24,Mumbai,Hyderabad,01:40:00,03:10:00,0.0,No Info,2754
Jet Airways,2019-03-21,Banglore,New Delhi,07:00:00,13:15:00,1.0,In-flight meal not included,7832
Jet Airways,2019-05-03,Banglore,Delhi,11:10:00,14:05:00,0.0,In-flight meal not included,4030
Jet Airways,2019-03-12,Banglore,New Delhi,21:25:00,11:25:00,1.0,No Info,13817
Jet Airways,2019-04-09,Delhi,Cochin,05:30:00,19:00:00,2.0,No Info,11664
Air India,2019-05-15,Delhi,Cochin,14:10:00,17:10:00,0.0,No Info,6094
Indigo,2019-06-21,Banglore,Delhi,08:30:00,11:20:00,0.0,No Info,4823
Air Asia,2019-04-15,Kolkata,Banglore,07:35:00,23:30:00,1.0,No Info,5192
Indigo,2019-05-15,Delhi,Cochin,10:35:00,21:00:00,1.0,No Info,6979
Air India,2019-03-06,Mumbai,Hyderabad,09:40:00,15:15:00,2.0,No Info,25139
Multiple Carriers,2019-06-01,Delhi,Cochin,09:00:00,21:00:00,1.0,No Info,7933
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,12:25:00,1.0,In-flight meal not included,11087
Indigo,2019-03-27,Delhi,Cochin,06:40:00,22:20:00,1.0,No Info,6442
Multiple Carriers,2019-05-15,Delhi,Cochin,10:00:00,19:00:00,1.0,No Info,10197
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,16:20:00,1.0,No Info,14571
Spicejet,2019-05-27,Mumbai,Hyderabad,22:45:00,00:15:00,0.0,No check-in baggage included,1965
Multiple Carriers,2019-06-03,Delhi,Cochin,17:45:00,01:30:00,1.0,No Info,7530
Multiple Carriers,2019-03-27,Delhi,Cochin,08:55:00,21:00:00,1.0,No Info,8055
Jet Airways,2019-06-03,Delhi,Cochin,10:00:00,12:35:00,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-15,Delhi,Cochin,08:30:00,19:15:00,1.0,No Info,8937
Spicejet,2019-03-15,Kolkata,Banglore,17:15:00,19:45:00,0.0,No check-in baggage included,3815
Air India,2019-06-12,Delhi,Cochin,09:45:00,08:15:00,1.0,No Info,8991
Air India,2019-05-24,Kolkata,Banglore,05:50:00,08:55:00,2.0,No Info,12723
Multiple Carriers,2019-03-03,Delhi,Cochin,08:25:00,18:50:00,1.0,No Info,15135
Vistara,2019-05-09,Kolkata,Banglore,07:10:00,09:05:00,1.0,No Info,9187
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,08:15:00,1.0,In-flight meal not included,11841
Air India,2019-03-01,Banglore,New Delhi,05:50:00,22:10:00,2.0,No Info,13576
Indigo,2019-05-27,Delhi,Cochin,10:35:00,21:00:00,1.0,No Info,6314
Air India,2019-05-24,Kolkata,Banglore,09:50:00,12:30:00,2.0,No Info,15170
Multiple Carriers,2019-03-06,Delhi,Cochin,13:00:00,21:00:00,1.0,In-flight meal not included,15136
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,16:20:00,1.0,No Info,14781
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,16:20:00,1.0,In-flight meal not included,10844
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,12:00:00,1.0,No Info,14571
Vistara,2019-05-27,Banglore,Delhi,21:00:00,23:50:00,0.0,No Info,4668
Indigo,2019-03-27,Kolkata,Banglore,15:20:00,17:55:00,0.0,No Info,5198
Jet Airways,2019-06-27,Delhi,Cochin,19:10:00,12:35:00,2.0,No Info,12819
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,23:25:00,1.0,No Info,13759
Indigo,2019-03-24,Mumbai,Hyderabad,16:55:00,18:25:00,0.0,No Info,3175
Air India,2019-06-09,Delhi,Cochin,20:00:00,19:15:00,1.0,No Info,8372
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,23:35:00,1.0,In-flight meal not included,12384
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,16:20:00,1.0,In-flight meal not included,9899
Air India,2019-03-21,Banglore,New Delhi,10:30:00,22:55:00,1.0,No Info,6383
Jet Airways,2019-06-03,Delhi,Cochin,21:25:00,19:00:00,2.0,No Info,13292
Air India,2019-03-09,Banglore,New Delhi,11:05:00,09:15:00,1.0,No Info,11077
Multiple Carriers,2019-06-03,Delhi,Cochin,06:00:00,21:00:00,1.0,No Info,8475
Vistara,2019-06-09,Banglore,Delhi,11:30:00,14:20:00,0.0,No Info,4668
Multiple Carriers,2019-03-09,Delhi,Cochin,15:15:00,01:35:00,1.0,No Info,15200
Air India,2019-04-24,Banglore,Delhi,10:00:00,12:45:00,0.0,No Info,6121
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,14:25:00,1.0,No Info,12692
Indigo,2019-03-09,Delhi,Cochin,06:40:00,21:20:00,2.0,No Info,8146
Indigo,2019-06-09,Delhi,Cochin,14:20:00,22:30:00,1.0,No Info,6938
Indigo,2019-05-21,Kolkata,Banglore,19:20:00,23:45:00,1.0,No Info,3574
Indigo,2019-06-09,Delhi,Cochin,02:00:00,07:45:00,1.0,No Info,6386
Indigo,2019-05-24,Kolkata,Banglore,08:10:00,13:00:00,1.0,No Info,5069
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,04:40:00,1.0,No Info,14388
Jet Airways,2019-06-24,Delhi,Cochin,09:40:00,12:35:00,2.0,In-flight meal not included,10368
Jet Airways,2019-06-06,Delhi,Cochin,14:00:00,19:00:00,1.0,No Info,14714
Vistara,2019-03-24,Banglore,New Delhi,16:00:00,18:35:00,0.0,No Info,5088
Air India,2019-05-27,Delhi,Cochin,10:00:00,19:15:00,1.0,No Info,12029
Jet Airways,2019-06-09,Kolkata,Banglore,14:05:00,23:35:00,1.0,In-flight meal not included,10844
Indigo,2019-04-01,Kolkata,Banglore,14:25:00,16:55:00,0.0,No Info,4174
Indigo,2019-06-01,Kolkata,Banglore,21:25:00,00:05:00,0.0,No Info,4804
Jet Airways,2019-05-27,Delhi,Cochin,09:40:00,12:35:00,2.0,No Info,15129
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,16:20:00,1.0,No Info,12996
Air India,2019-06-09,Delhi,Cochin,17:15:00,19:15:00,2.0,No Info,12392
Spicejet,2019-06-27,Chennai,Kolkata,17:45:00,20:05:00,0.0,No check-in baggage included,3543
Air India,2019-06-01,Delhi,Cochin,22:00:00,19:15:00,2.0,No Info,10441
Multiple Carriers,2019-06-01,Delhi,Cochin,06:40:00,19:15:00,1.0,No Info,8937
Jet Airways,2019-03-21,Delhi,Cochin,05:30:00,18:50:00,2.0,No Info,12341
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,20:45:00,1.0,In-flight meal not included,10844
Air India,2019-05-21,Kolkata,Banglore,08:20:00,23:15:00,2.0,No Info,13164
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,16:20:00,1.0,In-flight meal not included,10844
Jet Airways,2019-06-12,Delhi,Cochin,16:00:00,12:35:00,1.0,In-flight meal not included,10262
Vistara,2019-06-09,Banglore,Delhi,21:00:00,23:50:00,0.0,No Info,4668
Air India,2019-05-06,Kolkata,Banglore,05:50:00,08:55:00,2.0,No Info,10991
Indigo,2019-06-03,Chennai,Kolkata,19:35:00,21:55:00,0.0,No Info,3597
Spicejet,2019-04-12,Kolkata,Banglore,17:10:00,19:40:00,0.0,No check-in baggage included,3841
Indigo,2019-06-15,Delhi,Cochin,07:30:00,21:00:00,1.0,No Info,6093
Air India,2019-05-09,Delhi,Cochin,20:15:00,19:15:00,2.0,No Info,13591
Indigo,2019-06-12,Kolkata,Banglore,14:25:00,16:55:00,0.0,No Info,4804
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,12:00:00,1.0,In-flight meal not included,9663
Jet Airways,2019-05-12,Kolkata,Banglore,20:25:00,23:35:00,1.0,No Info,10953
Multiple Carriers,2019-05-27,Delhi,Cochin,08:00:00,21:00:00,1.0,No Info,7618
Indigo,2019-06-24,Banglore,Delhi,13:00:00,15:50:00,0.0,No Info,3943
Multiple Carriers,2019-06-12,Delhi,Cochin,13:00:00,01:30:00,1.0,No Info,13377
Multiple Carriers,2019-06-27,Delhi,Cochin,07:00:00,19:00:00,1.0,No Info,12192
Air India,2019-05-01,Kolkata,Banglore,09:25:00,18:20:00,2.0,No Info,8366
