airline,date_of_journey,source,destination,dep_time,arrival_time,total_stops,additional_info,price
Jet Airways,2019-06-09,Banglore,Delhi,17:45:00,20:45:00,0.0,No Info,8016
Air India,2019-04-01,Kolkata,Banglore,05:50:00,23:15:00,2.0,No Info,11516
Multiple Carriers,2019-06-03,Delhi,Cochin,06:00:00,19:15:00,1.0,No Info,9736
Indigo,2019-05-21,Delhi,Cochin,17:05:00,22:15:00,1.0,No Info,6147
Jet Airways,2019-04-01,Delhi,Cochin,17:30:00,12:35:00,1.0,In-flight meal not included,5406
Jet Airways,2019-05-12,Banglore,Delhi,11:10:00,14:05:00,0.0,No Info,7229
Air India,2019-06-27,Delhi,Cochin,08:00:00,19:15:00,1.0,No Info,8372
Indigo,2019-04-03,Delhi,Cochin,10:35:00,15:35:00,1.0,No Info,5073
Indigo,2019-03-03,Banglore,New Delhi,06:00:00,08:45:00,0.0,No Info,6144
Jet Airways,2019-06-21,Banglore,Delhi,19:50:00,22:50:00,0.0,No Info,8541
Air India,2019-03-27,Delhi,Cochin,21:00:00,19:15:00,1.0,No Info,6692
Jet Airways,2019-03-21,Delhi,Cochin,10:45:00,18:50:00,2.0,In-flight meal not included,8367
Indigo,2019-06-01,Banglore,Delhi,21:15:00,00:15:00,0.0,No Info,3943
Vistara,2019-03-18,Banglore,New Delhi,21:10:00,00:05:00,0.0,No Info,11598
Vistara,2019-03-03,Banglore,New Delhi,09:50:00,12:35:00,0.0,No Info,8028
Multiple Carriers,2019-05-21,Delhi,Cochin,08:45:00,21:00:00,1.0,No Info,7485
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,09:20:00,1.0,In-flight meal not included,9663
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,10:05:00,1.0,In-flight meal not included,8586
Indigo,2019-06-06,Delhi,Cochin,07:15:00,12:30:00,1.0,No Info,6582
Jet Airways,2019-05-27,Delhi,Cochin,10:00:00,12:35:00,1.0,In-flight meal not included,12898
Goair,2019-04-03,Delhi,Cochin,10:35:00,19:35:00,1.0,No Info,5135
Multiple Carriers,2019-06-24,Delhi,Cochin,06:00:00,19:00:00,1.0,No Info,12524
Indigo,2019-03-27,Mumbai,Hyderabad,06:20:00,07:45:00,0.0,No Info,3175
Multiple Carriers,2019-05-15,Delhi,Cochin,08:00:00,19:00:00,1.0,No Info,10197
Air India,2019-06-09,Delhi,Cochin,05:00:00,19:15:00,2.0,No Info,9968
Air India,2019-06-01,Delhi,Cochin,09:00:00,19:15:00,1.0,No Info,10454
Multiple Carriers,2019-05-15,Delhi,Cochin,11:30:00,19:15:00,1.0,No Info,14323
Spicejet,2019-06-24,Kolkata,Banglore,09:00:00,11:25:00,0.0,No Info,3873
Air India,2019-06-27,Delhi,Cochin,14:25:00,19:15:00,2.0,No Info,13591
Multiple Carriers,2019-06-06,Delhi,Cochin,12:50:00,19:15:00,1.0,No Info,8266
Indigo,2019-06-09,Chennai,Kolkata,07:55:00,10:15:00,0.0,No Info,3850
Indigo,2019-05-06,Chennai,Kolkata,07:55:00,10:15:00,0.0,No Info,3850
Indigo,2019-06-12,Delhi,Cochin,14:25:00,17:40:00,0.0,No Info,5601
Air India,2019-06-24,Delhi,Cochin,05:15:00,07:40:00,3.0,No Info,10493
Air India,2019-06-01,Delhi,Cochin,10:00:00,19:15:00,1.0,No Info,9929
Jet Airways,2019-06-15,Delhi,Cochin,10:00:00,04:25:00,1.0,In-flight meal not included,10262
Goair,2019-05-15,Delhi,Cochin,10:35:00,19:35:00,1.0,No Info,7378
Air India,2019-06-06,Delhi,Cochin,20:40:00,09:25:00,1.0,No Info,7952
Air Asia,2019-05-15,Kolkata,Banglore,07:35:00,23:30:00,1.0,No Info,5192
Jet Airways,2019-06-24,Delhi,Cochin,21:50:00,12:35:00,1.0,In-flight meal not included,10262
Indigo,2019-04-21,Banglore,Delhi,16:55:00,19:55:00,0.0,No Info,4990
Air India,2019-06-12,Delhi,Cochin,10:55:00,07:40:00,2.0,No Info,11753
Air India,2019-04-09,Delhi,Cochin,07:00:00,19:15:00,1.0,No Info,6674
Air India,2019-06-24,Mumbai,Hyderabad,06:20:00,07:40:00,0.0,No Info,3100
Indigo,2019-05-01,Kolkata,Banglore,22:15:00,00:50:00,0.0,No Info,4804
Spicejet,2019-03-03,Banglore,New Delhi,10:20:00,18:15:00,1.0,No Info,11401
Jet Airways,2019-05-18,Delhi,Cochin,05:30:00,04:25:00,2.0,In-flight meal not included,13029
Jet Airways,2019-03-21,Delhi,Cochin,08:00:00,18:50:00,1.0,No Info,12767
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,21:20:00,1.0,In-flight meal not included,11087
Indigo,2019-06-27,Delhi,Cochin,06:40:00,21:00:00,1.0,No Info,6093
Indigo,2019-06-24,Delhi,Cochin,02:00:00,07:45:00,1.0,No Info,6016
Multiple Carriers,2019-03-06,Delhi,Cochin,13:55:00,01:35:00,1.0,In-flight meal not included,15136
Multiple Carriers,2019-03-21,Delhi,Cochin,09:00:00,21:00:00,1.0,No Info,6883
Multiple Carriers,2019-03-21,Delhi,Cochin,14:00:00,21:00:00,1.0,No Info,13062
Jet Airways,2019-04-06,Banglore,Delhi,19:50:00,22:50:00,0.0,In-flight meal not included,4544
Air India,2019-03-15,Banglore,New Delhi,06:45:00,12:15:00,1.0,No Info,8714
Air India,2019-05-24,Kolkata,Banglore,07:00:00,01:20:00,2.0,No Info,14083
Jet Airways,2019-05-21,Delhi,Cochin,22:50:00,19:00:00,1.0,In-flight meal not included,12898
Jet Airways,2019-05-21,Kolkata,Banglore,09:35:00,21:05:00,1.0,No Info,14151
Jet Airways,2019-06-09,Delhi,Cochin,14:35:00,12:35:00,2.0,No Info,13376
Air Asia,2019-05-01,Kolkata,Banglore,22:50:00,01:20:00,0.0,No Info,4409
Air India,2019-06-06,Kolkata,Banglore,10:00:00,05:25:00,2.0,No Info,12009
Jet Airways,2019-05-21,Kolkata,Banglore,18:55:00,04:40:00,1.0,No Info,14388
Indigo,2019-06-15,Chennai,Kolkata,11:35:00,14:00:00,0.0,No Info,3858
Jet Airways,2019-04-03,Banglore,Delhi,15:15:00,18:10:00,0.0,In-flight meal not included,4544
Air India,2019-03-21,Banglore,New Delhi,05:50:00,16:20:00,2.0,No Info,7664
Jet Airways,2019-05-27,Delhi,Cochin,23:05:00,04:25:00,2.0,No Info,15129
Indigo,2019-06-27,Delhi,Cochin,21:50:00,03:35:00,1.0,No Info,5775
Jet Airways,2019-03-09,Banglore,New Delhi,08:55:00,21:20:00,1.0,In-flight meal not included,11087
Jet Airways,2019-03-18,Banglore,New Delhi,18:40:00,07:40:00,1.0,No Info,12284
Spicejet,2019-06-12,Banglore,Delhi,05:55:00,08:35:00,0.0,No check-in baggage included,4319
Vistara,2019-03-09,Banglore,New Delhi,06:40:00,21:55:00,1.0,No Info,10008
Multiple Carriers,2019-03-06,Delhi,Cochin,11:30:00,19:15:00,1.0,No Info,15077
Air India,2019-05-09,Kolkata,Banglore,08:20:00,11:10:00,2.0,No Info,11222
Spicejet,2019-06-09,Chennai,Kolkata,08:20:00,10:35:00,0.0,No Info,3597
Jet Airways,2019-03-27,Delhi,Cochin,19:45:00,04:25:00,1.0,In-flight meal not included,6540
Jet Airways,2019-05-27,Delhi,Cochin,20:55:00,19:00:00,1.0,In-flight meal not included,12898
Jet Airways,2019-05-01,Kolkata,Banglore,10:20:00,17:35:00,1.0,No Info,8355
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,14:25:00,1.0,In-flight meal not included,9314
Jet Airways,2019-06-12,Delhi,Cochin,19:30:00,12:35:00,2.0,No Info,13014
Indigo,2019-04-09,Delhi,Cochin,15:00:00,01:30:00,1.0,No Info,6270
Jet Airways,2019-03-06,Banglore,New Delhi,08:55:00,09:00:00,1.0,No Info,15025
Jet Airways,2019-06-15,Delhi,Cochin,14:35:00,12:35:00,2.0,No Info,13376
Air India,2019-05-09,Kolkata,Banglore,07:00:00,20:25:00,1.0,No Info,10203
Multiple Carriers,2019-03-03,Delhi,Cochin,08:00:00,15:30:00,1.0,No Info,15078
Jet Airways,2019-06-15,Delhi,Cochin,05:30:00,04:25:00,2.0,No Info,13014
Indigo,2019-04-27,Banglore,Delhi,00:30:00,03:25:00,0.0,No Info,4591
Jet Airways,2019-05-27,Delhi,Cochin,09:35:00,12:35:00,2.0,No Info,14657
Jet Airways,2019-05-21,Kolkata,Banglore,09:35:00,09:45:00,1.0,No Info,13067
Jet Airways,2019-06-27,Delhi,Cochin,05:30:00,12:35:00,2.0,No Info,14441
Indigo,2019-04-12,Kolkata,Banglore,04:40:00,07:15:00,0.0,No Info,4174
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,08:10:00,1.0,No Info,14231
Air India,2019-03-03,Banglore,New Delhi,06:55:00,13:20:00,1.0,No Info,10924
Jet Airways,2019-06-03,Delhi,Cochin,14:00:00,04:25:00,1.0,No Info,14714
Multiple Carriers,2019-03-06,Delhi,Cochin,06:40:00,19:15:00,1.0,No Info,15077
Air India,2019-03-27,Delhi,Cochin,17:15:00,07:40:00,2.0,No Info,8367
Jet Airways,2019-03-21,Banglore,New Delhi,05:45:00,15:15:00,1.0,In-flight meal not included,7832
Multiple Carriers,2019-03-06,Delhi,Cochin,08:00:00,21:00:00,1.0,No Info,15078
Vistara,2019-03-01,Banglore,New Delhi,19:40:00,22:20:00,0.0,No Info,21730
Vistara,2019-03-06,Mumbai,Hyderabad,07:30:00,09:25:00,1.0,No Info,12395
Goair,2019-03-15,Banglore,New Delhi,20:55:00,23:50:00,0.0,No Info,8722
Jet Airways,2019-05-21,Delhi,Cochin,20:00:00,04:25:00,2.0,No Info,16263
Air India,2019-06-27,Mumbai,Hyderabad,21:05:00,22:25:00,0.0,No Info,3100
Air India,2019-03-21,Delhi,Cochin,07:05:00,09:25:00,2.0,No Info,7615
Indigo,2019-06-21,Banglore,Delhi,13:00:00,15:50:00,0.0,No Info,3943
Air India,2019-05-27,Delhi,Cochin,13:30:00,23:00:00,1.0,No Info,8907
Jet Airways,2019-06-09,Delhi,Cochin,22:50:00,19:00:00,1.0,No Info,14714
Spicejet,2019-03-09,Delhi,Cochin,06:10:00,11:20:00,1.0,No Info,8382
Indigo,2019-04-03,Mumbai,Hyderabad,16:55:00,18:25:00,0.0,No Info,3175
Jet Airways,2019-05-15,Banglore,Delhi,11:10:00,14:05:00,0.0,In-flight meal not included,4030
Indigo,2019-06-03,Delhi,Cochin,04:55:00,21:00:00,1.0,No Info,6838
Air India,2019-06-06,Kolkata,Banglore,12:00:00,21:50:00,2.0,No Info,9416
Indigo,2019-06-21,Mumbai,Hyderabad,16:55:00,18:25:00,0.0,No Info,4392
Indigo,2019-03-27,Kolkata,Banglore,21:25:00,00:05:00,0.0,No Info,4148
Jet Airways,2019-06-24,Banglore,Delhi,07:10:00,10:10:00,0.0,No Info,8016
Jet Airways,2019-03-09,Delhi,Cochin,11:00:00,14:15:00,0.0,In-flight meal not included,7202
Multiple Carriers,2019-05-21,Delhi,Cochin,10:35:00,19:15:00,1.0,No Info,7575
Vistara,2019-05-01,Kolkata,Banglore,07:10:00,20:20:00,1.0,No Info,8610
Goair,2019-03-03,Delhi,Cochin,07:30:00,13:20:00,1.0,No Info,6112
Air India,2019-06-09,Kolkata,Banglore,07:00:00,05:25:00,2.0,No Info,12744
Spicejet,2019-05-27,Banglore,Delhi,05:55:00,08:35:00,0.0,No check-in baggage included,3257
Air India,2019-05-15,Kolkata,Banglore,17:30:00,20:25:00,1.0,No Info,10203
Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,08:15:00,1.0,In-flight meal not included,9663
Jet Airways,2019-06-18,Delhi,Cochin,09:50:00,13:05:00,0.0,In-flight meal not included,4466
Multiple Carriers,2019-06-01,Delhi,Cochin,03:50:00,12:35:00,1.0,No Info,12192
Indigo,2019-06-12,Banglore,Delhi,10:10:00,13:00:00,0.0,No Info,3943
Air India,2019-05-21,Kolkata,Banglore,09:50:00,08:55:00,2.0,No Info,14960
Multiple Carriers,2019-03-03,Delhi,Cochin,09:45:00,22:20:00,1.0,No Info,13838
Jet Airways,2019-05-15,Kolkata,Banglore,20:00:00,04:40:00,1.0,No Info,13941
Jet Airways,2019-03-09,Delhi,Cochin,05:40:00,04:25:00,2.0,In-flight meal not included,13764
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,14:25:00,1.0,In-flight meal not included,10539
Air India,2019-05-21,Kolkata,Banglore,10:00:00,05:25:00,2.0,No Info,13899
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,19:10:00,1.0,In-flight meal not included,9314
Spicejet,2019-03-15,Kolkata,Banglore,09:00:00,11:30:00,0.0,No Info,3847
Air India,2019-05-27,Delhi,Cochin,20:15:00,19:15:00,2.0,No Info,13381
Air India,2019-03-06,Delhi,Cochin,09:00:00,19:15:00,1.0,No Info,15284
Vistara,2019-04-01,Kolkata,Banglore,17:00:00,22:55:00,1.0,No Info,8977
Jet Airways,2019-03-09,Delhi,Cochin,19:45:00,04:25:00,1.0,In-flight meal not included,11848
Multiple Carriers,2019-05-15,Delhi,Cochin,10:00:00,01:30:00,1.0,No Info,8073
Spicejet,2019-03-24,Chennai,Kolkata,09:30:00,12:05:00,0.0,No check-in baggage included,3807
Jet Airways,2019-06-01,Mumbai,Hyderabad,02:55:00,04:20:00,0.0,No Info,5678
Jet Airways,2019-06-03,Mumbai,Hyderabad,19:35:00,21:05:00,0.0,In-flight meal not included,3210
Jet Airways,2019-05-27,Delhi,Cochin,15:00:00,19:00:00,1.0,In-flight meal not included,12898
Air India,2019-05-27,Delhi,Cochin,09:00:00,19:15:00,1.0,No Info,9929
Air India,2019-03-24,Kolkata,Banglore,12:00:00,13:40:00,1.0,No Info,7742
Multiple Carriers,2019-06-09,Delhi,Cochin,09:00:00,21:00:00,1.0,No Info,7408
Spicejet,2019-06-24,Chennai,Kolkata,08:20:00,10:35:00,0.0,No check-in baggage included,3543
Jet Airways,2019-03-03,Delhi,Cochin,16:00:00,04:25:00,1.0,No Info,17234
Jet Airways,2019-05-12,Kolkata,Banglore,08:25:00,04:40:00,1.0,No Info,13941
Multiple Carriers,2019-06-15,Delhi,Cochin,11:30:00,21:00:00,1.0,No Info,13587
Jet Airways,2019-03-06,Banglore,New Delhi,20:35:00,09:30:00,1.0,No Info,17261
Jet Airways,2019-06-24,Delhi,Cochin,05:30:00,04:25:00,2.0,In-flight meal not included,10368
Indigo,2019-04-03,Delhi,Cochin,07:35:00,12:10:00,1.0,No Info,5073
Indigo,2019-05-21,Mumbai,Hyderabad,16:55:00,18:25:00,0.0,No Info,3175
Air India,2019-03-12,Banglore,New Delhi,08:50:00,13:55:00,2.0,No Info,13303
Air India,2019-05-21,Delhi,Cochin,20:15:00,19:15:00,2.0,No Info,13381
Air India,2019-03-03,Banglore,New Delhi,19:10:00,10:35:00,2.0,No Info,13355
Air India,2019-03-01,Banglore,New Delhi,17:00:00,12:15:00,1.0,No Info,10246
Air India,2019-05-12,Banglore,Delhi,06:10:00,08:55:00,0.0,No Info,5228
Jet Airways,2019-03-21,Delhi,Cochin,19:10:00,18:50:00,2.0,No Info,9483
Jet Airways,2019-05-27,Delhi,Cochin,05:30:00,12:35:00,2.0,No Info,16274
Jet Airways,2019-05-21,Delhi,Cochin,21:50:00,04:25:00,1.0,No Info,16079
Air India,2019-03-09,Banglore,New Delhi,17:00:00,19:50:00,0.0,No Info,9481
Jet Airways,2019-06-12,Delhi,Cochin,09:00:00,12:35:00,1.0,In-flight meal not included,10262
Jet Airways,2019-06-12,Banglore,Delhi,17:45:00,20:45:00,0.0,In-flight meal not included,5769
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,08:15:00,1.0,No Info,14781
Multiple Carriers,2019-06-03,Delhi,Cochin,03:50:00,19:00:00,1.0,No Info,12192
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,20:45:00,1.0,No Info,14571
Indigo,2019-03-06,Delhi,Cochin,17:10:00,01:35:00,1.0,No Info,14871
Jet Airways,2019-06-24,Delhi,Cochin,15:00:00,12:35:00,1.0,In-flight meal not included,10262
Air India,2019-05-27,Delhi,Cochin,12:55:00,19:15:00,2.0,No Info,12436
Jet Airways,2019-05-09,Kolkata,Banglore,18:55:00,09:20:00,1.0,In-flight meal not included,9663
Indigo,2019-06-01,Banglore,Delhi,16:55:00,19:45:00,0.0,No Info,4823
Multiple Carriers,2019-03-06,Delhi,Cochin,10:20:00,21:00:00,1.0,No Info,15147
Goair,2019-04-01,Delhi,Cochin,07:25:00,13:35:00,1.0,No Info,4563
Multiple Carriers,2019-06-27,Delhi,Cochin,07:30:00,19:00:00,1.0,No Info,11789
Air India,2019-06-12,Delhi,Cochin,05:10:00,08:00:00,0.0,No Info,5201
Air India,2019-04-03,Delhi,Cochin,20:30:00,23:00:00,1.0,No Info,5022
Jet Airways,2019-03-09,Banglore,New Delhi,08:00:00,10:25:00,1.0,In-flight meal not included,11087
Indigo,2019-06-27,Delhi,Cochin,16:00:00,21:00:00,1.0,No Info,6069
Indigo,2019-04-18,Banglore,Delhi,21:15:00,00:15:00,0.0,No Info,4591
Air India,2019-03-03,Banglore,New Delhi,08:50:00,11:10:00,2.0,No Info,12599
Air India,2019-06-09,Delhi,Cochin,20:00:00,07:40:00,1.0,No Info,8372
Air India,2019-06-24,Delhi,Cochin,13:00:00,19:15:00,1.0,No Info,8372
Air Asia,2019-04-18,Kolkata,Banglore,10:20:00,12:55:00,0.0,No Info,4409
Air Asia,2019-05-18,Kolkata,Banglore,19:55:00,22:25:00,0.0,No Info,5989
Indigo,2019-06-27,Mumbai,Hyderabad,06:25:00,07:55:00,0.0,No Info,4049
Indigo,2019-05-01,Mumbai,Hyderabad,20:05:00,21:40:00,0.0,No Info,2227
Indigo,2019-04-03,Kolkata,Banglore,19:20:00,23:45:00,1.0,No Info,3480
Jet Airways,2019-03-09,Delhi,Cochin,08:00:00,19:45:00,1.0,No Info,17549
Jet Airways,2019-05-12,Kolkata,Banglore,08:25:00,08:15:00,1.0,In-flight meal not included,8586
Indigo,2019-04-01,Mumbai,Hyderabad,02:35:00,04:05:00,0.0,No Info,2754
Air India,2019-03-21,Delhi,Cochin,07:00:00,19:15:00,1.0,No Info,7934
Jet Airways,2019-05-09,Delhi,Cochin,14:00:00,04:25:00,1.0,In-flight meal not included,12373
Jet Airways,2019-05-24,Banglore,Delhi,17:45:00,20:45:00,0.0,In-flight meal not included,6144
Indigo,2019-03-18,Mumbai,Hyderabad,09:10:00,10:40:00,0.0,No Info,4049
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,09:20:00,1.0,In-flight meal not included,10844
Multiple Carriers,2019-05-09,Delhi,Cochin,17:30:00,01:30:00,1.0,No Info,15078
Air India,2019-03-24,Kolkata,Banglore,14:35:00,14:35:00,1.0,No Info,6241
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,20:45:00,1.0,In-flight meal not included,10844
Spicejet,2019-06-15,Kolkata,Banglore,17:10:00,19:40:00,0.0,No Info,3873
Jet Airways,2019-05-18,Kolkata,Banglore,20:25:00,23:35:00,1.0,No Info,14151
Indigo,2019-06-06,Chennai,Kolkata,05:15:00,07:40:00,0.0,No Info,3540
Jet Airways,2019-06-15,Delhi,Cochin,05:30:00,19:00:00,2.0,In-flight meal not included,10368
Spicejet,2019-06-27,Banglore,Delhi,09:30:00,12:20:00,0.0,No check-in baggage included,3573
Jet Airways,2019-03-15,Banglore,New Delhi,08:00:00,15:15:00,1.0,In-flight meal not included,9134
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,21:05:00,1.0,No Info,14151
Air India,2019-05-21,Kolkata,Banglore,10:00:00,01:20:00,2.0,No Info,13033
Jet Airways,2019-06-21,Banglore,Delhi,15:15:00,18:10:00,0.0,In-flight meal not included,7229
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,23:35:00,1.0,In-flight meal not included,10844
Indigo,2019-03-15,Kolkata,Banglore,05:30:00,08:20:00,0.0,No Info,4148
Indigo,2019-03-21,Delhi,Cochin,04:45:00,13:20:00,1.0,No Info,7738
